# slug|中文名|基酒|杯型|方式|风味标签|配方 id:用量:单位:optional:alternative|装饰|步骤（自述）|图片主体
daiquiri|代基里|朗姆酒|鸡尾酒杯|摇和|酸甜,柑橘|cuban-white:60;lime:20;sugar:2:吧匙||在摇壶内将材料搅拌至糖溶解，加冰摇匀，滤入预冷鸡尾酒杯。|cloudy pale ivory lime drink in a coupe, no ice, no garnish
dark-n-stormy|黑暗风暴|朗姆酒|海波杯|直调|气泡,清爽|goslings:60;ginger-beer:100|lime-fruit:1:角|装冰的海波杯先倒入姜汁啤酒，再将朗姆轻轻浮于其上。|tall highball with ice, cloudy golden ginger beer below dark rum float, lime wedge
dons-special-daiquiri|唐氏特调代基里|朗姆酒|Copo 高脚杯|搅打|酸甜,柑橘,热带|jamaican-gold:30;cuban-rum:15;passion-syrup:15;lime:15;honey-syrup:15|passion-fruit:半:个|全部材料和碎冰短暂搅打数秒，倒入有脚 Copo 杯，再补碎冰。|golden yellow tropical drink with crushed ice in a footed copo goblet, half passion fruit garnish
dry-martini|干马天尼|金酒|马天尼杯|搅拌||gin:60;dry-vermouth:10|lemon-fruit:1:条皮挤油::olive|材料加冰充分搅冷，滤入预冷马天尼杯。挤入柠檬皮油；也可按喜好改用绿橄榄。|crystal clear dry martini in classic V shaped martini glass, single green olive on slim cocktail pick, no ice
espresso-martini|浓缩咖啡马天尼|伏特加|鸡尾酒杯|摇和|咖啡|vodka:50;kahlua:30;syrup:10;espresso:1:份|coffee-beans:3:颗|材料加冰充分摇匀，滤入预冷鸡尾酒杯。|dark espresso brown martini with golden crema foam cap in V shaped martini glass, exactly three coffee beans on foam, no ice
fernandito|费尔南迪托||双份古典杯|直调|气泡,清爽|fernet-branca:50;cola:适量:补满||在装冰的双份古典杯倒入菲奈特布兰卡，用可乐补满，轻轻搅匀。|dark cola brown drink in double rocks glass with ice cubes, no garnish
french-75|法兰西 75|金酒|香槟笛杯|摇和|气泡,清爽|gin:30;lemon:15;syrup:15;champagne:60||除香槟外的材料加冰摇匀，滤入香槟笛杯，加入香槟轻搅。|pale lemon gold sparkling drink in champagne flute, no garnish, no ice
french-connection|法国联系|白兰地|古典杯|直调||cognac:35;amaretto:35||材料直接倒入装冰的古典杯，轻轻搅匀。|clear amber cognac drink in rocks glass with large ice cubes, no garnish
french-martini|法式马天尼|伏特加|鸡尾酒杯|摇和|果味|vodka:45;raspberry-liqueur:15;pineapple-juice:15|lemon-fruit:1:条皮挤油|材料加冰摇匀，滤入预冷鸡尾酒杯，挤入柠檬皮油。|pale peach pink martini in V shaped glass with thin foamy surface, expressed lemon oil only no physical garnish, no ice
garibaldi|加里波第||海波杯|直调|苦甜|campari:45;orange-juice:120|orange:1:角|将材料直接倒入装满冰的海波杯。|vibrant cloudy reddish orange drink in tall highball with ice cubes, orange wedge
gin-basil-smash|罗勒金酒司马什|金酒|鸡尾酒杯|摇和|酸甜,柑橘|gin:60;lemon:22.5;syrup:22.5;basil:10:片叶||材料放入摇壶加冰，用力摇匀，滤入预冷鸡尾酒杯。|light fresh green cloudy drink in coupe, no garnish, no ice
gin-fizz|金菲士|金酒|细长高杯|摇和|气泡,清爽|gin:45;lemon:30;syrup:10;soda:少许:补入|lemon-fruit:1:片|除苏打水外的材料加冰摇匀，滤入细长高杯，补少许苏打水。成杯不另加冰。|pale cloudy lemon fizz in slim tall cylindrical tumbler with a little fine foam, lemon slice, absolutely no ice
grand-margarita|柑曼怡玛格丽特|龙舌兰|古典杯|摇和|酸甜,柑橘|tequila:45;grand-marnier:30;lime:15|salt:适量:杯口;lime-fruit:1:片|古典杯做海盐杯口并装冰。材料加冰用力摇约十秒，滤入杯中。|golden margarita in straight rocks glass with ice, sea salt rim, lime wheel
grasshopper|青草蜢||鸡尾酒杯|摇和|醇厚|cacao-white:20;menthe-green:20;cream:20|mint:1:片叶:可选|材料加冰快速摇匀，滤入预冷鸡尾酒杯。|opaque pastel mint green creamy drink in coupe, one small mint leaf, no ice
hanky-panky|汉基潘基|金酒|鸡尾酒杯|搅拌|苦甜|london-dry:45;vermouth:45;fernet-branca:7.5|orange:1:条皮|材料加冰充分搅冷，滤入预冷鸡尾酒杯。|clear deep brownish amber cocktail in stemmed coupe, orange zest, no ice
hemingway-special|海明威特调|朗姆酒|大号鸡尾酒杯|摇和|酸甜,柑橘|rum-all:60;grapefruit-juice:40;luxardo-maraschino:15;lime:15||材料加冰摇匀，滤入预冷的大号鸡尾酒杯。|pale pinkish ivory cloudy drink in large stemmed coupe, no garnish, no ice
horses-neck|马颈|白兰地|海波杯|直调|气泡,清爽|cognac:40;ginger-ale:120;angostura:少许:dash:可选|lemon-fruit:1:整条螺旋皮|在装冰的海波杯混合干邑与干姜水，轻搅；可按需加入安高天娜苦精。|golden amber highball with ice cubes, one very long continuous spiral lemon peel running inside entire glass and over rim
iba-tiki|IBA 提基|朗姆酒|Tiki 杯|摇和|热带|havana-profundo:30;havana-smoky:30;amaretto:15;frangelico:5;luxardo-maraschino:5:滴;passion-puree:30;pineapple-juice:90;lime:30;ginger:1:薄片|orange:1:片;pineapple:1:脱水片|在摇壶内压开姜片，加入其余材料和冰用力摇匀，滤入装小粒冰的预冷 Tiki 杯。|warm golden tropical drink in a carved brown ceramic tiki mug filled with pebble ice, orange wheel and dried pineapple slice
illegal|非法|多种烈酒|鸡尾酒杯|摇和|酸甜,柑橘|espadin:30;jamaican-overproof:15;falernum:15;luxardo-maraschino:1:吧匙;lime:22.5;syrup:15;egg-white:少许:滴:可选||材料加冰用力摇匀，滤入预冷鸡尾酒杯；也可使用装冰的传统陶杯。|cloudy pale straw drink in stemmed coupe, no garnish, no ice
irish-coffee|爱尔兰咖啡|威士忌|爱尔兰咖啡杯|直调|咖啡|irish-whiskey:50;coffee:120;cream:50;sugar:1:茶匙||预热咖啡杯，倒入热咖啡、威士忌与糖并搅至糖溶解。冷奶油沿吧匙背缓缓浮在咖啡上，保持分层。|hot dark coffee in clear handled stemmed Irish coffee glass with thick distinct white cream layer floating on top, no garnish, no ice
john-collins|约翰柯林斯|金酒|海波杯|直调|气泡,清爽|gin:45;lemon:30;syrup:15;soda:60|lemon-fruit:1:片;cherry:1:颗|材料直接倒入装冰的海波杯，轻轻搅匀。|pale cloudy lemon sparkling drink in tall Collins glass with ice, lemon wheel and cocktail cherry
jungle-bird|丛林鸟|朗姆酒|古典杯|摇和|热带|blackstrap-rum:45;campari:22.5;pineapple-juice:45;lime:15;demerara-syrup:15|pineapple:1:角|材料加冰摇匀，滤入装冰的古典杯。|deep orange reddish tropical drink in rocks glass with ice, single pineapple wedge
kir|基尔||葡萄酒杯|直调|苦甜|white-wine:90;cassis:10||杯中先倒黑加仑利口酒，再加入干白葡萄酒。|clear pink rose colored drink in stemmed wine glass, no ice, no garnish
last-word|最后一句|金酒|鸡尾酒杯|摇和|酸甜,柑橘|gin:22.5;chartreuse-green:22.5;luxardo-maraschino:22.5;lime:22.5||材料加冰摇匀，滤入预冷鸡尾酒杯。|cloudy pale yellow green drink in stemmed coupe, no ice, no garnish
lemon-drop-martini|柠檬滴马天尼|伏特加|鸡尾酒杯|摇和|酸甜,柑橘|vodka:30;triple-sec:20;lemon:15||材料加冰摇匀，滤入预冷鸡尾酒杯。|cloudy pale lemon yellow drink in V shaped martini glass, clean bare rim no sugar, no garnish, no ice
long-island-iced-tea|长岛冰茶|多种烈酒|海波杯|直调|气泡,清爽|vodka:15;tequila:15;rum:15;gin:15;cointreau:15;lemon:25;syrup:30;cola:适量:补满|lemon-fruit:1:片:可选|将材料倒入装冰的海波杯，以可乐补足并轻搅。|tea brown drink in tall highball with ice cubes, lemon slice
mai-tai|迈泰|朗姆酒|双份古典杯|摇和|热带|jamaican-gold:30;martinique-molasses:30;curacao:15;orgeat:15;lime:30;syrup:7.5|pineapple:1:长条;mint:1:枝;lime-fruit:1:条皮|材料加冰摇匀，倒入双份古典杯，也可用海波杯。|amber golden tropical mai tai in double rocks glass with ice, pineapple spear, fresh mint sprig and lime peel
manhattan|曼哈顿|威士忌|鸡尾酒杯|搅拌||rye:50;vermouth:20;angostura:1:dash|cherry:1:颗|材料加冰充分搅冷，滤入预冷鸡尾酒杯。|clear rich reddish amber drink in stemmed coupe, one dark cocktail cherry, no ice
margarita|玛格丽特|龙舌兰|鸡尾酒杯|摇和|酸甜,柑橘|tequila:50;triple-sec:20;lime:15|salt:适量:半圈杯口:可选|材料加冰摇匀，滤入预冷鸡尾酒杯。可按喜好做半圈盐口。|cloudy pale ivory margarita served up in stemmed coupe with salt on precisely half the rim, no fruit garnish, no ice
martinez|马丁内兹|金酒|鸡尾酒杯|搅拌||london-dry:45;vermouth:45;luxardo-maraschino:1:吧匙;orange-bitters:2:dash|lemon-fruit:1:条皮|材料加冰充分搅冷，滤入预冷鸡尾酒杯。|clear reddish amber drink in coupe, lemon zest, no ice
mary-pickford|玛丽碧克馥|朗姆酒|鸡尾酒杯|摇和|果味|rum:45;pineapple-juice:45;luxardo-maraschino:7.5;grenadine:5||材料加冰充分摇匀，滤入预冷鸡尾酒杯。|cloudy pale coral pink drink with light pineapple foam in coupe, no garnish, no ice
mimosa|含羞草||香槟笛杯|直调|气泡,清爽|orange-juice:75;prosecco:75|orange:1:条皮:可选|香槟笛杯先倒鲜橙汁，再缓缓加入普罗塞克，轻轻混合。|bright cloudy orange sparkling mimosa in champagne flute, small orange twist, no ice
mint-julep|薄荷朱利普|威士忌|朱利普金属杯|捣压||bourbon:60;mint:4:枝;powdered-sugar:1:茶匙;water:2:茶匙|mint:1:枝|在金属朱利普杯中轻压薄荷、糖和水，加碎冰、波本并搅拌至杯壁结霜。|frosted stainless steel julep cup piled with crushed ice, a lush fresh mint sprig, no fruit
missionarys-downfall|传教士的堕落|朗姆酒|大号高脚碗杯|搅打|热带|rum:30;peach-brandy:15;lime:15;honey-syrup:30;mint:10:片叶;pineapple:3–4:块|mint:1:枝;pineapple:1:片|所有材料与半杯碎冰搅打，倒入大号高脚碗杯。|pale green mint flecked frozen tropical drink in large wide stemmed goblet, mint sprig and pineapple slice
mojito|莫吉托|朗姆酒|海波杯|捣压|气泡,清爽|cuban-white:45;lime:20;mint:6:枝;cane-sugar:2:茶匙;soda:适量:补满|mint:1:枝;lime-fruit:1:片|先混合薄荷、糖与青柠汁，加少许苏打水和冰，再加朗姆并以苏打水补满，轻搅。|nearly clear mojito in highball glass with ice and mint leaves inside, mint sprig and lime wheel garnish
monkey-gland|猴腺|金酒|鸡尾酒杯|摇和||gin:45;orange-juice:45;absinthe:1:汤匙;grenadine:1:汤匙||材料加冰充分摇匀，滤入预冷鸡尾酒杯。|cloudy orange coral red cocktail in coupe, no garnish, no ice
moscow-mule|莫斯科骡子|伏特加|铜骡子杯|直调|气泡,清爽|smirnoff:45;ginger-beer:120;lime:10|lime-fruit:1:片|在骡子杯或古典杯混合伏特加、姜汁啤酒，加入青柠汁轻搅。|copper Moscow mule mug with handle, pale cloudy drink over ice, lime wheel only
naked-and-famous|赤裸与名流|其他烈酒|鸡尾酒杯|摇和|酸甜,柑橘|mezcal:22.5;chartreuse-yellow:22.5;aperol:22.5;lime:22.5||材料加冰充分摇匀，滤入预冷鸡尾酒杯。|cloudy warm light orange drink in coupe, no garnish, no ice
negroni|尼格罗尼|金酒|古典杯|直调|苦甜|gin:30;campari:30;vermouth:30|orange:半:片|材料直接倒入装冰的预冷古典杯，轻轻搅匀。|ruby red drink in rocks glass with ice, half orange slice
new-york-sour|纽约酸|威士忌|古典杯|摇和|酸甜,柑橘|rye:60:::bourbon;syrup:22.5;lemon:30;egg-white:少许:滴;red-wine:15|lemon-fruit:1:条皮::orange;cherry:1:颗|除红葡萄酒外的材料加冰用力摇匀，滤入装冰的古典杯，再缓缓浮上红葡萄酒。|golden sour with thin red wine float in rocks glass with ice, lemon zest and cherry
old-cuban|古巴老方|朗姆酒|鸡尾酒杯|摇和|气泡,清爽|mint:6–8:片叶;aged-rum:45;lime:22.5;syrup:30;angostura:2:dash;champagne:60:::prosecco|mint:1:枝|除起泡酒外的材料加冰摇匀，滤入预冷鸡尾酒杯，再加入起泡酒。|golden sparkling drink in elegant coupe with mint sprig, no ice
old-fashioned|古典|威士忌|古典杯|直调||bourbon:45:::rye;sugar-cube:1:块;angostura:少许:dash;water:少许:dash|orange:1:片或条皮;cherry:1:颗|方糖用苦精浸润，再加少量水压溶。杯中加入冰与威士忌，轻轻搅匀。|amber old fashioned in rocks glass with big ice cube, orange peel and cherry
paloma|帕洛玛|龙舌兰|海波杯|直调|气泡,清爽|tequila:50;lime:5;salt:1:撮;grapefruit-soda:100|lime-fruit:1:片|杯中倒入龙舌兰及青柠汁，加入冰和盐，再加葡萄柚汽水，轻搅。|pale pink grapefruit highball with ice, lime slice
paper-plane|纸飞机|威士忌|鸡尾酒杯|摇和|酸甜,柑橘|bourbon:30;nonino:30;aperol:30;lemon:30||材料加冰充分摇匀，滤入预冷鸡尾酒杯。|cloudy orange drink in coupe no garnish no ice
paradise|天堂|金酒|鸡尾酒杯|摇和|果味|gin:30;apricot-brandy:20;orange-juice:15||材料加冰充分摇匀，滤入预冷鸡尾酒杯。|pale gold orange drink in coupe no garnish no ice
penicillin|盘尼西林|威士忌|古典杯|摇和|酸甜,柑橘|blended-scotch:60;lagavulin-16:7.5;lemon:22.5;honey-syrup:22.5;ginger:2–3:片|candied-ginger:1:片|摇壶中压开姜片，加入除乐加维林外的材料，加冰摇匀并细滤入装冰古典杯。将乐加维林浮于酒面。|cloudy golden cocktail in rocks glass with ice, candied ginger slice
pina-colada|椰林飘香|朗姆酒|大号杯|搅打|热带,醇厚|rum:50;coconut-cream:30;pineapple-juice:50|pineapple:1:片;cherry:1:颗|材料与冰放入搅拌机搅打，倒入大号杯，配吸管。|creamy ivory frozen pina colada in large hurricane glass, pineapple slice and cherry
pisco-punch|皮斯科潘趣|白兰地|大号高脚杯|摇和||pisco:60;pineapple-juice:22.5;syrup:15;lemon:15;white-wine:30;cloves:3:粒||糖浆与丁香轻压，加入除葡萄酒外的材料，加冰摇匀并双重过滤入大号高脚杯。最后加葡萄酒轻搅。|pale golden cocktail in large stemmed goblet no garnish no ice
pisco-sour|皮斯科酸|白兰地|高脚杯|摇和|酸甜,柑橘|pisco:60;lemon:30;syrup:20;egg-white:1:整个蛋清|amargo-bitters:少许:dash|材料加冰摇匀，滤入预冷高脚杯，在表面点少许 Amargo 苦精。|pale ivory drink with dense egg white foam and bitters dots in stemmed goblet no ice
planters-punch|种植园潘趣|朗姆酒|小号平底杯|直调|热带|jamaican-rum:45;lime:15;cane-juice:30|orange:1:条皮|材料直接倒入小号平底杯或陶杯。按口味用水、冰或鲜果汁调整稀释。|golden brown rum drink in small tumbler with cracked ice, orange zest
porn-star-martini|色情明星马天尼|伏特加|大号鸡尾酒杯|摇和|果味|vanilla-vodka:50;passion-liqueur:20;passion-puree:50;vanilla-sugar:2:吧匙;champagne:50:ml（另杯）|passion-fruit:半:个;vanilla-sugar:少许:撒面|除香槟外的材料加冰摇匀，双重过滤入大号冷鸡尾酒杯。香槟单独以小杯伴饮。|golden passion fruit martini in coupe with half passion fruit dusted sugar, small champagne side glass
porto-flip|波特翻转||鸡尾酒杯|摇和||brandy:15;tawny-port:45;egg-yolk:10|nutmeg:少许:磨碎|材料加冰充分摇匀，滤入预冷鸡尾酒杯。|creamy rose brown drink in coupe with fine nutmeg no ice
rabo-de-galo|公鸡尾|其他烈酒|古典杯|直调|苦甜|cachaca:60;cinzano-rosso:20;cynar:15;angostura:2:滴:可选|orange:1:条皮|材料倒入古典杯，加冰后短暂搅匀。|clear dark amber drink in rocks glass ice orange twist
ramos-fizz|拉莫斯菲士|金酒|海波杯|摇和|气泡,清爽,醇厚|gin:45;lime:15;lemon:15;syrup:30;cream:60;egg-white:30;orange-flower:3:dash;vanilla-extract:2:滴;soda:适量:补满||除苏打水外，材料加冰摇约两分钟，滤去冰后再次无冰用力摇约一分钟。滤入海波杯，再补苏打水。|tall white creamy fizz in straight highball with tall foam cap no garnish no ice
remember-the-maine|铭记缅因号|威士忌|碟形香槟杯|搅拌||rye:60;vermouth:22.5;luxardo-cherry:15;absinthe:7.5:ml（润杯）|lemon-fruit:1:条皮|用苦艾酒润湿碟形杯内壁后倒掉余酒。其余材料加冰搅冷，滤入润好的杯子。|deep amber red drink in coupe with lemon zest no ice
russian-spring-punch|俄罗斯春日潘趣|伏特加|高杯|摇和|气泡,清爽|vodka:25;lemon:25;cassis:15;syrup:10;sparkling:适量:补满|blackberry:2:颗;lemon-fruit:1:片:可选|除起泡酒外的材料加冰摇匀，滤入装冰的预冷高杯，再加起泡酒补足。|pink berry sparkling drink in tall tumbler ice blackberries and lemon slice
rusty-nail|锈钉|威士忌|古典杯|直调||scotch:45;drambuie:25|lemon-fruit:1:条皮|材料直接倒入装冰古典杯，轻轻搅匀。|deep golden amber drink in rocks glass with ice and lemon twist
sazerac|萨泽拉克|白兰地|古典杯|搅拌||cognac:50;absinthe:10:ml（润杯）;sugar-cube:1:块;peychauds:2:dash|lemon-fruit:1:条皮|冷古典杯用苦艾酒润杯，放碎冰待用。其余材料加冰搅冷；倒掉准备杯中的冰与余苦艾酒，再滤入酒液。|small clear amber drink in low rocks glass absolutely no ice lemon zest
sea-breeze|海风|伏特加|海波杯|直调|气泡,清爽|vodka:40;cranberry:120;grapefruit-juice:30|orange:1:条皮;cherry:1:颗|将材料直接倒入装满冰的海波杯。|cranberry red highball with ice orange zest and cherry
sex-on-the-beach|激情海岸|伏特加|海波杯|直调|气泡,清爽,果味|vodka:40;peach-schnapps:20;orange-juice:40;cranberry:40|orange:半:片|将材料直接倒入装冰海波杯。|orange pink fruity highball with ice half orange slice
sherry-cobbler|雪莉科布勒||朱利普金属杯|摇和||amontillado:45;palo-cortado:45;sugar:1:茶匙;orange:半:圆片;lemon-fruit:半:圆片|berries:适量:颗;orange:1/4:圆片;lemon-fruit:1/4:圆片|将雪莉、糖和切成四分之一圆片的柑橘（各两片）加冰快速摇匀，滤入装碎冰的朱利普杯，配吸管。|julep metal cup with amber sherry and crushed ice, berries and quarter wheels orange lemon
sidecar|边车|白兰地|鸡尾酒杯|摇和|酸甜,柑橘|cognac:50;triple-sec:20;lemon:20||材料加冰摇匀，滤入预冷鸡尾酒杯。|cloudy pale gold drink in coupe bare rim no garnish no ice
singapore-sling|新加坡司令|金酒|飓风杯|摇和|果味|gin:30;luxardo-cherry:15;cointreau:7.5;benedictine:7.5;pineapple-juice:120;lime:15;grenadine:10;angostura:1:dash|pineapple:1:片;cherry:1:颗|材料加冰充分摇匀，滤入飓风杯。|cloudy coral pink tropical drink in hurricane glass pineapple slice cherry
south-side|南区|金酒|鸡尾酒杯|摇和|酸甜,柑橘|london-dry:60;lemon:30;syrup:15;mint:5–6:片叶;egg-white:少许:滴:可选|mint:1:枝|材料加冰摇匀，双重过滤入预冷鸡尾酒杯；使用蛋清时充分用力摇和。|pale green cloudy drink in coupe with mint sprig no ice
spicy-fifty|辛辣五十|伏特加|鸡尾酒杯|摇和|酸甜,柑橘,辛辣|vanilla-vodka:50;elderflower-cordial:15;lime:15;monin-honey:10;chili:2:薄片|chili:1:根|材料加冰摇匀，双重过滤入预冷鸡尾酒杯。|pale gold drink in coupe single red chili garnish no ice
spritz|阿佩罗斯普利兹||葡萄酒杯|直调|气泡,清爽,苦甜|prosecco:90;aperol:60;soda:少许:补入|orange:1:片|材料直接倒入装冰葡萄酒杯，轻轻搅匀。|bright orange sparkling aperol spritz in large wine glass with ice and orange slice
stinger|毒刺|白兰地|马天尼杯|搅拌||cognac:50;menthe-white:20|mint:1:片叶:可选|材料加冰充分搅冷，滤入预冷马天尼杯。|clear golden cognac drink in V shaped martini glass mint leaf no ice
suffering-bastard|受苦混蛋|多种烈酒|柯林斯杯|摇和|气泡,清爽,热带|cognac:30:::brandy;gin:30;lime:15;angostura:2:dash;ginger-beer:适量:补满|mint:1:枝;orange:1:片:可选|除姜汁啤酒外的材料加冰摇匀，连冰倒入柯林斯杯或专用陶杯，再补姜汁啤酒。|amber gold drink in tall Collins glass ice mint sprig and orange slice
tequila-sunrise|龙舌兰日出|龙舌兰|海波杯|直调|气泡,清爽|tequila:45;orange-juice:90;grenadine:15|orange:半:片或条皮|装冰海波杯中倒入龙舌兰和橙汁，最后加红石榴糖浆形成日出渐层，不再搅拌。|highball ice orange juice with red grenadine gradient at bottom half orange slice
three-dots-and-a-dash|三点一划|朗姆酒|Copo 高脚杯|搅打|热带|agricole:45;aged-rum:15;falernum:7.5;st-elizabeth:7.5;lime:15;orange-juice:15;honey-syrup:15;angostura:2:dash|cherry:3:颗;pineapple:1:长方块|材料加入约十二盎司碎冰，短暂搅打，倒入有脚 Copo 杯，再补碎冰。|golden brown tropical drink in footed copo with crushed ice exactly three cherries and rectangular pineapple chunk
