# id|中文名|分组|上级|品牌|English|图片
kahlua|甘露咖啡利口酒|利口酒|coffee-liqueur|Kahlua|Kahlúa|coffee-liqueur
cacao-brown|深色可可利口酒|利口酒|||Crème de Cacao Brown|
cacao-white|白可可利口酒|利口酒|||Crème de Cacao White|
menthe-green|绿薄荷利口酒|利口酒|||Crème de Menthe Green|
menthe-white|白薄荷利口酒|利口酒|||Crème de Menthe White|
violette|紫罗兰利口酒|利口酒|||Crème de Violette|
mure|黑莓利口酒|利口酒|||Crème de Mûre|
cassis|黑加仑利口酒|利口酒|||Crème de Cassis|
raspberry-liqueur|覆盆子利口酒|利口酒|||Raspberry Liqueur|
passion-liqueur|百香果利口酒|利口酒|||Passion Fruit Liqueur|
amaretto|杏仁利口酒|利口酒|||Amaretto|
hazelnut-liqueur|榛子利口酒|利口酒|||Hazelnut Liqueur|
frangelico|榛子弗朗格里科|利口酒|hazelnut-liqueur|Frangelico|Frangelico|
herbal-liqueur|草本利口酒|利口酒|||Herbal Liqueur|
chartreuse-green|绿查特酒|利口酒|herbal-liqueur|Chartreuse|Green Chartreuse|chartreuse
chartreuse-yellow|黄查特酒|利口酒|herbal-liqueur|Chartreuse|Yellow Chartreuse|
benedictine|廊酒|利口酒|herbal-liqueur|Bénédictine|DOM Bénédictine|
drambuie|杜林标威士忌利口酒|利口酒|herbal-liqueur|Drambuie|Drambuie|
falernum|法勒南香料甜酒|利口酒|||Falernum|
allspice-liqueur|多香果利口酒|利口酒|||Allspice Dram|
st-elizabeth|圣伊丽莎白多香果酒|利口酒|allspice-liqueur|St. Elizabeth|Allspice Saint Elizabeth|
absinthe|苦艾酒|利口酒|||Absinthe|
anise-liqueur|茴香利口酒|利口酒|||Anise Liqueur|
pernod|潘诺茴香酒|利口酒|anise-liqueur|Pernod|Pernod|
aromatized-wine|加香葡萄酒|利口酒|||Aromatized Wine|dry-vermouth
lillet|利莱白|利口酒|aromatized-wine|Lillet|Lillet Blanc|dry-vermouth
cocchi-americano|好奇美国佬 Americano|利口酒|aromatized-wine|Cocchi|Cocchi Americano|dry-vermouth
sparkling|起泡酒|葡萄酒|||Sparkling Wine|champagne
champagne|香槟|葡萄酒|sparkling||Champagne|champagne
prosecco|普罗塞克|葡萄酒|sparkling||Prosecco|champagne
white-wine|干白葡萄酒|葡萄酒|||Dry White Wine|
red-wine|红葡萄酒|葡萄酒|||Red Wine|
tawny-port|茶色波特酒|葡萄酒|||Tawny Port|
sherry|雪莉酒|葡萄酒|||Sherry|
amontillado|阿蒙蒂亚雪莉|葡萄酒|sherry||Amontillado|
palo-cortado|帕罗科塔多雪莉|葡萄酒|sherry||Palo Cortado|
bitters|调味苦精|苦精与调味|||Bitters|bitters
aromatic-bitters|芳香苦精|苦精与调味|bitters||Aromatic Bitters|bitters
angostura|安高天娜芳香苦精|苦精与调味|aromatic-bitters|Angostura|Angostura Bitters|angostura
peychauds|佩肖氏苦精|苦精与调味|aromatic-bitters|Peychaud's|Peychaud’s Bitters|peychauds
orange-bitters|橙味苦精|苦精与调味|bitters||Orange Bitters|bitters
amargo-bitters|Amargo 苦精|固体材料|seasoning||Amargo Bitters|bitters
worcestershire|伍斯特酱|苦精与调味|||Worcestershire Sauce|
hot-sauce|辣椒汁|苦精与调味|||Hot Sauce|
tabasco|塔巴斯科辣椒汁|苦精与调味|hot-sauce|Tabasco|Tabasco|
salt|盐|固体材料|seasoning||Salt|salt
celery-salt|芹菜盐|苦精与调味|||Celery Salt|salt
pepper|黑胡椒|苦精与调味|||Pepper|
orange-flower|橙花水|苦精与调味|||Orange Flower Water|
vanilla-extract|香草精|苦精与调味|||Vanilla Extract|
lime|青柠汁|果汁与汽水|||Fresh Lime Juice|lime-juice
lemon|柠檬汁|果汁与汽水|||Fresh Lemon Juice|lemon-juice
orange-juice|鲜橙汁|果汁与汽水|||Fresh Orange Juice|orange-juice
pineapple-juice|菠萝汁|果汁与汽水|||Fresh Pineapple Juice|pineapple-juice
grapefruit-juice|葡萄柚汁|果汁与汽水|||Grapefruit Juice|
cranberry|蔓越莓汁|果汁与汽水|||Cranberry Juice|
tomato|番茄汁|果汁与汽水|||Tomato Juice|
cane-juice|甘蔗汁|果汁与汽水|||Sugar Cane Juice|
peach-puree|白桃果泥|果汁与汽水|||White Peach Puree|
passion-puree|百香果泥|果汁与汽水|||Passion Fruit Puree|
soda|苏打水|果汁与汽水|||Soda Water|soda
tonic|汤力水|果汁与汽水|||Tonic Water|soda
cola|可乐|果汁与汽水|||Cola|cola
ginger-beer|姜汁啤酒|果汁与汽水|||Ginger Beer|ginger-beer
ginger-ale|干姜水|果汁与汽水|||Ginger Ale|ginger-beer
grapefruit-soda|粉红葡萄柚汽水|果汁与汽水|||Pink Grapefruit Soda|
water|饮用水|果汁与汽水|||Water|soda
sugar|细砂糖|糖与其他|||Superfine Sugar|sugar
cane-sugar|白蔗糖|糖与其他|sugar||White Cane Sugar|sugar
sugar-cube|方糖|糖与其他|sugar||Sugar Cube|sugar
powdered-sugar|糖粉|固体材料|other-food||Powdered Sugar|sugar
vanilla-sugar|香草糖|固体材料|other-food||Vanilla Sugar|sugar
syrup|原味糖浆|糖与其他|||Simple Syrup Sugar Syrup|syrup
honey|蜂蜜|糖与其他|||Honey|honey
honey-syrup|蜂蜜糖浆|糖与其他|||Honey Syrup Honey Mix|honey
monin-honey|莫林蜂蜜糖浆|糖与其他|honey-syrup|Monin|Monin Honey Syrup|honey
demerara-syrup|德梅拉拉糖浆|糖与其他|||Demerara Syrup|syrup
raspberry-syrup|覆盆子糖浆|糖与其他|||Raspberry Syrup|grenadine
grenadine|红石榴糖浆|糖与其他|||Grenadine Syrup|grenadine
passion-syrup|百香果糖浆|糖与其他|||Passion Fruit Syrup|
orgeat|杏仁糖浆|糖与其他|||Orgeat Syrup|orgeat
agave-nectar|龙舌兰糖浆|糖与其他|||Agave Nectar|honey
elderflower-cordial|接骨木花果露|糖与其他|||Elderflower Cordial|
chamomile-cordial|洋甘菊果露|糖与其他|||Chamomile Cordial|
honey-chamomile|蜂蜜洋甘菊混合液|糖与其他|||Honey Chamomile Mix|honey
donns-mix|Donn’s Mix|糖与其他|||Donn’s Mix|
cream|鲜奶油|糖与其他|||Fresh Cream|cream
coconut-cream|椰子奶油|糖与其他|||Coconut Cream|
egg-white|蛋清|糖与其他|||Egg White|egg
egg-yolk|蛋黄|糖与其他|||Egg Yolk|egg
espresso|浓缩咖啡|糖与其他|||Espresso|coffee
coffee|热黑咖啡|糖与其他|||Hot Coffee|coffee
orange|鲜橙|固体材料|fruit-vegetable||Orange|orange
lemon-fruit|鲜柠檬|固体材料|fruit-vegetable||Lemon|lemon
lime-fruit|鲜青柠|固体材料|fruit-vegetable||Lime|lime
pineapple|菠萝|固体材料|fruit-vegetable||Pineapple|pineapple
passion-fruit|百香果|固体材料|fruit-vegetable||Passion Fruit|
peach|桃子|固体材料|fruit-vegetable||Peach|
mint|薄荷|固体材料|fruit-vegetable||Mint|mint
basil|意大利罗勒|固体材料|fruit-vegetable||Italian Basil|basil
ginger|鲜姜|固体材料|fruit-vegetable||Ginger Gengibre|ginger
candied-ginger|糖渍姜片|固体材料|fruit-vegetable||Candied Ginger|
cherry|鸡尾酒樱桃|固体材料|fruit-vegetable||Cocktail Maraschino Cherry|cherry
raspberry|覆盆子|固体材料|fruit-vegetable||Raspberry|
blackberry|黑莓|固体材料|fruit-vegetable||Blackberry|
berries|新鲜莓果|固体材料|fruit-vegetable||Berries|
grapes|白葡萄|固体材料|fruit-vegetable||White Grapes|
olive|绿橄榄|固体材料|fruit-vegetable||Green Olive|olive
celery|芹菜|固体材料|fruit-vegetable||Celery|
chili|红辣椒|固体材料|fruit-vegetable||Red Chili Pepper|
nutmeg|肉豆蔻|固体材料|seasoning||Nutmeg|
cloves|丁香|固体材料|seasoning||Cloves|
coffee-beans|咖啡豆|固体材料|other-food||Coffee Beans|coffee
